ingredients,raw_weights_g,cooking_method,cooked_weight_g,cooked_energy_kcal,cooked_protein_g,cooked_fat_g,cooked_carbohydrate_g,cooked_sodium_mg,cooked_cholesterol_mg,cooked_vitamin_c_mg,cooked_calcium_mg,cooked_iron_mg,cooked_potassium_mg
pepper_small_pepper,305.9_408.5,stir_fry,669.0,1656.2,47.65,77.46,192.11,3990.3,0.0,220.55,190.9,24.33,3687.4
pork,67.9,stir_fry,62.8,279.2,8.47,26.31,2.14,279.2,54.3,0.0,4.0,1.09,113.1
cauliflower,401.6,stir_fry,360.5,143.5,7.88,2.81,21.68,2533.9,0.0,86.21,90.7,4.5,668.4
potato,471.4,stir_fry,419.2,395.9,8.8,3.3,82.75,2150.7,0.0,42.73,37.6,3.74,1418.4
orange_onion,54.7_301.8,boil,379.3,152.2,3.34,0.66,33.24,238.3,0.0,16.67,85.4,1.86,387.5
pork_chicken_shrimp,422.6_372.0_422.2,pan_fry,1079.2,3130.0,192.8,252.87,20.74,5212.6,1505.0,0.0,210.6,15.98,2223.3
egg,251.0,braise,249.1,441.9,30.69,28.72,15.16,2364.1,1468.3,0.0,141.1,5.1,294.1
bell_pepper_garlic,156.8_314.9,boil,489.1,441.7,14.58,0.88,93.87,415.5,0.0,71.09,129.9,4.38,927.0
fish_carrot_strawberry_beef,397.3_362.2_182.0_118.2,boil,1167.8,468.1,29.93,6.5,72.46,1271.0,99.3,210.31,199.5,11.95,1587.7
fish,426.4,roast,334.3,166.1,5.18,2.98,29.64,1694.1,0.0,105.64,38.8,2.16,1023.7
cauliflower_garlic_egg,144.4_368.1_249.9,steam,703.1,867.0,50.36,23.09,114.45,1538.3,1461.9,59.42,318.7,10.96,1554.1
potato_garlic_ginger,62.6_390.6_383.1,steam,790.0,761.9,23.13,3.18,160.2,1055.2,0.0,31.82,263.5,10.61,2208.2
cauliflower_strawberry_potato,73.2_393.8_98.7,steam,521.4,232.5,7.2,1.1,48.44,587.8,0.0,138.6,94.2,8.57,863.5
peach_kumquat_banana,461.6_492.4_133.7,roast,809.6,736.8,10.01,6.0,160.7,3742.5,0.0,56.74,318.6,9.3,1545.9
fish,151.9,stir_fry,140.6,61.0,1.86,1.06,10.99,895.3,0.0,51.65,13.9,0.77,372.0
pepper_eggplant_potato_apple,175.3_478.0_407.3_481.9,steam,1514.9,1355.2,39.56,23.27,246.87,2347.7,0.0,83.47,184.6,19.38,3909.7
cauliflower,148.7,stir_fry,134.4,52.6,2.8,1.04,8.01,686.0,0.0,30.35,34.0,1.64,263.9
tofu,59.3,stir_fry,54.6,84.7,4.49,6.07,3.02,207.9,0.0,0.0,97.4,1.13,60.8
pork_small_pepper_carrot_egg,209.8_419.6_130.4_73.2,boil,921.9,1088.5,39.06,79.68,53.79,732.9,596.1,225.04,236.3,11.47,1146.1
pepper_fish_onion_garlic,265.0_215.9_475.8_398.4,deep_fry,977.1,2466.9,57.61,118.93,291.51,3589.1,0.0,46.5,323.9,24.79,4367.8
carrot_cabbage,362.2_356.0,boil,746.8,231.9,8.3,1.37,46.57,908.1,0.0,75.48,273.3,5.43,821.5
egg,311.8,stir_fry,282.6,586.6,38.08,43.5,10.69,1985.9,1824.0,0.0,173.3,6.25,424.5
potato_small_pepper,249.3_156.9,stir_fry,371.0,291.9,6.46,3.94,57.65,2312.1,0.0,93.85,77.1,4.21,1037.1
chicken,453.0,roast,350.5,796.8,81.35,48.12,9.58,1697.7,480.2,0.0,41.6,6.38,979.7
grape,119.1,steam,118.5,53.7,0.56,0.23,12.34,115.5,0.0,13.83,6.1,0.47,112.5
cabbage_small_pepper_chicken,385.8_57.5_447.1,braise,877.0,1179.0,85.52,66.95,58.59,8273.8,473.9,71.49,254.7,9.28,1334.3
cauliflower_pork_bell_pepper,194.8_81.8_465.7,roast,571.5,693.4,19.03,47.55,47.33,3166.1,65.4,156.78,91.4,5.79,1502.1
onion_pepper_potato,266.4_102.7_94.5,steam,455.5,562.8,18.98,12.97,92.55,613.3,0.0,25.22,82.8,8.51,1718.1
tofu,242.9,steam,228.0,194.9,18.95,8.67,10.28,369.0,0.0,0.0,394.2,4.54,265.8
potato,365.1,stir_fry,336.9,305.6,6.63,2.56,64.01,1686.8,0.0,36.52,29.1,2.94,1078.7
small_pepper_beef_ginger_carrot,322.5_178.8_412.2_462.4,deep_fry,1107.3,992.5,44.15,42.69,107.92,3829.4,150.2,78.42,422.3,20.72,2667.8
ginger,375.0,stir_fry,349.9,252.2,4.58,7.88,40.76,1533.3,0.0,4.82,100.1,5.18,924.5
garlic,107.1,roast,83.2,142.0,4.36,0.75,29.45,400.7,0.0,1.71,41.8,1.3,263.7
ginger_shrimp,337.9_162.1,stir_fry,449.9,371.7,30.59,9.93,39.99,2318.4,296.6,5.03,149.9,6.24,1110.2
eggplant_pork,126.8_59.9,stir_fry,161.8,346.4,8.33,30.61,9.42,999.2,47.9,2.07,33.8,1.57,249.0
pork_cucumber_bell_pepper,104.4_472.9_328.0,steam,853.2,585.6,21.0,39.34,36.89,1057.4,83.5,189.65,148.1,5.56,1397.0
shrimp,186.3,stir_fry,170.5,170.9,30.53,3.26,4.87,1271.8,340.9,0.0,66.3,1.86,327.1
egg_tofu,285.4_96.8,braise,355.4,598.8,41.8,38.1,22.19,3064.6,1669.6,0.0,323.7,7.56,431.3
onion,112.0,stir_fry,101.0,53.5,1.11,0.78,10.51,589.1,0.0,2.94,27.0,0.68,138.2
eggplant_potato,463.3_409.4,stir_fry,793.3,497.2,12.56,6.11,97.99,4278.4,0.0,51.22,145.3,5.58,1803.8
small_pepper_cabbage,465.0_61.8,stir_fry,475.2,270.6,6.24,6.94,45.8,3204.3,0.0,239.0,205.3,6.89,984.7
garlic,343.8,steam,316.4,441.3,14.97,0.69,93.81,460.6,0.0,11.12,135.6,4.09,930.0
cauliflower,234.9,pan_fry,208.4,73.5,4.62,1.64,10.07,875.7,0.0,46.69,54.6,2.56,413.3
carrot,473.0,steam,433.9,192.0,4.41,0.92,41.51,846.6,0.0,33.79,152.3,4.69,838.6
potato,89.0,stir_fry,82.5,74.0,1.66,0.62,15.44,443.8,0.0,8.26,7.1,0.71,262.7
cauliflower_garlic,81.2_195.7,roast,214.5,285.5,9.52,1.94,57.49,804.8,0.0,16.01,94.1,3.23,657.2
fish_cucumber,302.2_443.0,steam,734.9,169.7,6.92,1.45,32.26,677.5,0.0,164.97,132.8,3.79,1120.2
garlic,414.2,deep_fry,332.4,533.8,16.28,2.9,110.64,845.8,0.0,3.92,162.1,5.04,1018.9
lemon,106.8,boil,116.3,40.7,1.03,1.23,6.37,96.5,0.0,9.16,103.4,0.83,164.0
chicken_shrimp,258.7_294.3,pan_fry,461.0,993.7,93.85,65.26,7.73,2213.3,812.8,0.0,124.9,6.5,1072.4
potato,195.2,roast,146.7,160.9,3.62,1.37,33.53,749.9,0.0,12.49,15.8,1.54,557.4
pepper,306.0,stir_fry,269.8,1288.9,42.38,54.63,156.94,1653.6,0.0,0.0,37.1,18.14,2887.1
banana_bell_pepper,365.2_481.6,steam,774.2,509.8,10.49,1.7,113.14,1304.5,0.0,258.49,69.4,3.79,2108.1
ginger,364.8,boil,409.1,184.9,4.35,2.08,37.19,379.2,0.0,5.7,94.1,4.8,716.5
pork_banana_cabbage,81.6_439.6_307.9,roast,611.2,1039.8,19.83,55.43,115.42,2899.5,65.3,39.44,183.0,4.96,1433.6
cabbage,82.9,boil,86.5,20.7,1.13,0.16,3.68,77.0,0.0,13.69,37.8,0.48,73.5
tomato,395.4,steam,386.0,84.0,3.48,0.79,15.75,536.1,0.0,36.79,39.2,1.56,601.5
cabbage,400.0,steam,387.4,103.0,5.73,0.79,18.25,487.8,0.0,85.47,195.7,2.37,454.6
cabbage_potato_small_pepper,418.2_341.1_70.9,pan_fry,736.4,427.1,12.53,6.31,80.06,3689.8,0.0,117.51,254.3,6.2,1530.6
orange_lemon,261.5_210.6,roast,346.8,296.2,3.71,10.68,46.31,1856.4,0.0,30.7,305.3,2.23,704.8
