ingredients,raw_weights_g,cooking_method,cooked_weight_g,cooked_energy_kcal,cooked_protein_g,cooked_fat_g,cooked_carbohydrate_g,cooked_sodium_mg,cooked_cholesterol_mg,cooked_vitamin_c_mg,cooked_calcium_mg,cooked_iron_mg,cooked_potassium_mg
shrimp,118.9,steam,117.6,94.7,20.47,0.58,1.91,272.0,217.6,0.0,41.8,1.19,221.8
onion,344.9,steam,343.0,142.4,3.5,0.67,30.58,430.7,0.0,13.1,82.4,2.06,453.0
lemon_pineapple,243.6_263.1,stir_fry,475.0,298.4,3.72,11.15,45.79,2741.4,0.0,35.31,273.5,3.59,703.8
beef,417.0,stir_fry,379.9,725.2,74.07,42.49,11.64,1737.9,350.3,0.0,95.3,13.95,749.3
pepper_tomato_carrot_onion,440.2_181.9_478.9_446.6,stir_fry,1342.1,2699.9,71.96,128.16,314.67,9806.4,0.0,50.03,330.9,35.05,5815.7
tomato_eggplant,75.4_461.0,steam,534.5,132.8,5.58,1.05,25.25,784.9,0.0,18.74,119.5,2.64,719.5
cucumber_pepper_tomato_potato,188.5_266.2_359.4_369.8,stir_fry,1014.3,1885.3,47.6,90.88,219.25,6263.2,0.0,67.56,142.1,21.37,4172.7
cabbage,167.6,roast,129.5,56.2,2.37,1.17,9.04,643.8,0.0,17.0,83.1,1.01,168.4
tofu_pork_fish_eggplant,179.5_415.0_412.4_63.8,steam,999.9,1880.7,73.17,155.8,46.45,1365.0,332.0,203.74,368.5,12.58,2040.7
carrot,407.7,boil,436.3,160.0,3.61,0.75,34.7,622.0,0.0,21.41,122.8,3.85,543.7
shrimp,174.3,stir_fry,155.3,165.2,29.73,3.05,4.71,1102.6,319.0,0.0,61.9,1.73,336.0
pepper_ginger,88.9_96.0,roast,136.9,426.0,13.41,16.02,57.04,623.9,0.0,0.91,37.3,6.78,1064.3
beef,418.5,steam,397.1,503.1,77.68,17.71,8.25,993.6,351.5,0.0,96.1,13.92,807.4
tofu_eggplant,217.4_77.5,stir_fry,275.8,361.8,16.84,26.09,14.9,1751.6,0.0,1.3,381.3,4.56,313.6
chicken_cucumber,128.7_372.7,stir_fry,437.9,515.0,24.87,39.1,15.91,2614.6,136.4,12.39,99.5,3.72,607.1
garlic_onion,252.9_245.8,braise,457.3,495.1,12.63,3.49,103.28,4587.3,0.0,11.7,158.2,4.48,919.4
tofu_chicken,288.1_435.0,stir_fry,654.3,1283.9,98.02,88.65,23.49,3476.2,461.1,0.0,518.6,11.79,1249.5
cabbage_eggplant,246.1_202.1,steam,434.1,117.0,5.74,0.9,21.48,694.6,0.0,49.29,172.1,2.51,546.8
pork,202.6,pan_fry,169.7,820.3,25.1,77.9,4.71,911.6,162.1,0.0,12.0,3.23,341.7
small_pepper_cauliflower_bell_pepper,300.7_252.1_345.7,boil,958.3,304.6,12.09,2.28,58.91,828.8,0.0,361.08,192.1,8.34,1512.5
cucumber_small_pepper_grape,431.3_426.0_179.0,steam,954.5,342.4,9.47,2.84,69.75,941.4,0.0,314.99,268.5,8.68,1449.6
small_pepper_fish,180.6_62.4,stir_fry,224.8,126.2,2.96,2.97,21.92,1214.8,0.0,118.27,73.4,2.89,464.5
